Date,SPY,^VIX
2016-01-04,169.90818786621094,20.700000762939453
2016-01-05,170.195556640625,19.34000015258789
2016-01-06,168.04864501953125,20.59000015258789
2016-01-07,164.01690673828125,24.989999771118164
2016-01-08,162.2165069580078,27.010000228881836
2016-01-11,162.377197265625,24.299999237060547
2016-01-12,163.68727111816406,22.469999313354492
2016-01-13,159.6048126220703,25.219999313354492
2016-01-14,162.22500610351562,23.950000762939453
2016-01-15,158.74269104003906,27.020000457763672
2016-01-19,158.95399475097656,26.049999237060547
2016-01-20,156.91696166992188,27.59000015258789
2016-01-21,157.79600524902344,26.690000534057617
2016-01-22,161.0332489013672,22.34000015258789
2016-01-25,158.59898376464844,24.149999618530273
2016-01-26,160.76272583007812,22.5
2016-01-27,159.01312255859375,23.110000610351562
2016-01-28,159.8414306640625,22.420000076293945
2016-01-29,163.73793029785156,20.200000762939453
2016-02-01,163.67880249023438,19.979999542236328
2016-02-02,160.72900390625,21.979999542236328
2016-02-03,161.69252014160156,21.649999618530273
2016-02-04,161.9460906982422,21.84000015258789
2016-02-05,158.86099243164062,23.3799991607666
2016-02-08,156.7225341796875,26.0
2016-02-09,156.7310028076172,26.540000915527344
2016-02-10,156.5957794189453,26.290000915527344
2016-02-11,154.55880737304688,28.139999389648438
2016-02-12,157.74525451660156,25.399999618530273
2016-02-16,160.4077606201172,24.110000610351562
2016-02-17,163.02798461914062,22.309999465942383
2016-02-18,162.3602752685547,21.639999389648438
2016-02-19,162.28419494628906,20.530000686645508
2016-02-22,164.6339111328125,19.3799991607666
2016-02-23,162.55467224121094,20.979999542236328
2016-02-24,163.29843139648438,20.719999313354492
2016-02-25,165.27630615234375,19.110000610351562
2016-02-26,164.89596557617188,19.809999465942383
2016-02-29,163.6027374267578,20.549999237060547
2016-03-01,167.44854736328125,17.700000762939453
2016-03-02,168.20077514648438,17.09000015258789
2016-03-03,168.8600616455078,16.700000762939453
2016-03-04,169.40945434570312,16.860000610351562
2016-03-07,169.5447235107422,17.350000381469727
2016-03-08,167.69363403320312,18.670000076293945
2016-03-09,168.5220184326172,18.34000015258789
2016-03-10,168.65719604492188,18.049999237060547
2016-03-11,171.37881469726562,16.5
2016-03-14,171.15907287597656,16.920000076293945
2016-03-15,170.88015747070312,16.84000015258789
2016-03-16,171.86907958984375,14.989999771118164
2016-03-17,172.95944213867188,14.4399995803833
2016-03-18,173.63906860351562,14.020000457763672
2016-03-21,173.88546752929688,13.789999961853027
2016-03-22,173.79202270507812,14.170000076293945
2016-03-23,172.6450653076172,14.9399995803833
2016-03-24,172.5685577392578,14.739999771118164
2016-03-28,172.67056274414062,15.239999771118164
2016-03-29,174.26779174804688,13.819999694824219
2016-03-30,175.03240966796875,13.5600004196167
2016-03-31,174.607666015625,13.949999809265137
2016-04-01,175.79705810546875,13.100000381469727
2016-04-04,175.22784423828125,14.119999885559082
2016-04-05,173.47764587402344,15.420000076293945
2016-04-06,175.37228393554688,14.09000015258789
2016-04-07,173.27374267578125,16.15999984741211
2016-04-08,173.7410430908203,15.359999656677246
2016-04-11,173.33326721191406,16.260000228881836
2016-04-12,174.947509765625,14.850000381469727
2016-04-13,176.71463012695312,13.84000015258789
2016-04-14,176.72314453125,13.720000267028809
2016-04-15,176.52767944335938,13.619999885559082
2016-04-18,177.7681121826172,13.350000381469727
2016-04-19,178.3287811279297,13.239999771118164
2016-04-20,178.49880981445312,13.279999732971191
2016-04-21,177.53866577148438,13.949999809265137
2016-04-22,177.53866577148438,13.220000267028809
2016-04-25,177.23284912109375,14.079999923706055
2016-04-26,177.49624633789062,13.960000038146973
2016-04-27,177.861572265625,13.770000457763672
2016-04-28,176.247314453125,15.220000267028809
2016-04-29,175.2958221435547,15.699999809265137
2016-05-02,176.68911743164062,14.680000305175781
2016-05-03,175.15135192871094,15.600000381469727
2016-05-04,174.17430114746094,16.049999237060547
2016-05-05,174.1403350830078,15.90999984741211
2016-05-06,174.77752685546875,14.720000267028809
2016-05-09,174.9219970703125,14.569999694824219
2016-05-10,177.09690856933594,13.630000114440918
2016-05-11,175.4402313232422,14.6899995803833
2016-05-12,175.49118041992188,14.40999984741211
2016-05-13,173.96192932128906,15.039999961853027
2016-05-16,175.67811584472656,14.680000305175781
2016-05-17,174.0383758544922,15.569999694824219
2016-05-18,174.0894012451172,15.949999809265137
2016-05-19,173.48619079589844,16.329999923706055
2016-05-20,174.58216857910156,15.199999809265137
2016-05-23,174.34423828125,15.819999694824219
2016-05-24,176.6041717529297,14.420000076293945
2016-05-25,177.80210876464844,13.899999618530273
2016-05-26,177.85305786132812,13.430000305175781
2016-05-27,178.61766052246094,13.119999885559082
2016-05-31,178.2778778076172,14.1899995803833
2016-06-01,178.6432342529297,14.199999809265137
2016-06-02,179.18692016601562,13.630000114440918
2016-06-03,178.6516876220703,13.470000267028809
2016-06-06,179.56077575683594,13.649999618530273
2016-06-07,179.8411102294922,14.050000190734863
